 /*  opinionesUsuario.csv: datos generados por la información recibida de los logs de aplicaciones, columnas: usuario, aplicacion, opinion o valoración de usuario 

    Copyright (C) 2016  Natividad Crespo Belver. 
    Proyecto desarrollado como parte del TFG en la Universidad Internacional de la Rioja

    This program is free software: you can redistribute it and/or modify
    it under the terms of the GNU General Public License as published by
    the Free Software Foundation, either version 3 of the License, or
478477,1,6.0 
478477,4,4.0 
478476,8,1.0 
478475,8,6.0 
478470,4,1.0 
478468,6,4.0 
478466,1,10.0 
478465,4,1.0 
478464,4,6.0 
478463,3,10.0 
478463,7,4.0 
478463,5,1.0 
478461,8,4.0 
478461,1,6.0 
478460,6,1.0 
478460,5,4.0 
478459,4,6.0 
478457,7,6.0 
478457,2,1.0 
478456,4,4.0 
478455,7,1.0 
478454,9,1.0 
478452,4,6.0 
478452,3,4.0 
478451,5,10.0 
478451,2,6.0 
478450,4,1.0 
478449,1,10.0 
478448,1,4.0 
478448,5,4.0 
478448,7,10.0 
478447,3,1.0 
478446,8,10.0 
478444,3,1.0 
478444,8,6.0 
478443,3,1.0 
478442,2,6.0 
478442,6,1.0 
478442,7,4.0 
478442,2,6.0 
478441,8,4.0 
478441,9,10.0 
478439,4,10.0 
478438,2,10.0 
478438,7,1.0 
478438,3,1.0 
478437,3,6.0 
478434,1,6.0 
478429,8,6.0 
478428,9,6.0 
478420,6,6.0 
478420,9,1.0 
478419,1,10.0 
478417,3,1.0 
478417,7,1.0 
478416,1,1.0 
478416,5,6.0 
478414,6,1.0 
478411,5,6.0 
478408,6,6.0 
478407,2,1.0 
478407,5,10.0 
478406,7,6.0 
478403,2,1.0 
478399,4,6.0 
478398,2,10.0 
478396,3,4.0 
478395,1,1.0 
478394,3,4.0 
478394,6,1.0 
478392,7,1.0 
478392,1,4.0 
478388,9,10.0 
478387,2,10.0 
478385,1,4.0 
478384,6,4.0 
478382,4,1.0 
478381,6,10.0 
478381,7,1.0 
478380,8,1.0 
478379,5,4.0 
478377,4,6.0 
478376,6,1.0 
478376,3,1.0 
478375,7,4.0 
478375,1,4.0 
478374,6,10.0 
478374,7,10.0 
478372,9,4.0 
478369,4,1.0 
478368,5,1.0 
478365,4,10.0 
478361,3,10.0 
478357,4,1.0 
478353,2,6.0 
478352,4,10.0 
478351,7,1.0 
478350,2,1.0 
478350,8,4.0 
478350,7,6.0 
478350,5,6.0 
478347,8,6.0 
478344,7,10.0 
478343,1,6.0 
478339,8,4.0 
478338,2,6.0 
478338,4,4.0 
478337,8,10.0 
478337,3,4.0 
478337,1,10.0 
478335,5,1.0 
478334,3,10.0 
478334,4,4.0 
478333,8,1.0 
478333,4,6.0 
478330,6,1.0 
478330,5,10.0 
478329,4,10.0 
478327,8,10.0 
478326,9,4.0 
478326,1,6.0 
478325,5,4.0 
478325,9,1.0 
478322,9,6.0 
478322,8,4.0 
478322,3,8.0 
478322,3,8.0 
478322,5,6.0 
478322,2,10.0 
478317,6,1.0 
478316,4,10.0 
478316,5,6.0 
478316,8,10.0 
478314,9,1.0 
478314,2,8.0 
478314,2,8.0 
478312,5,6.0 
478312,3,4.0 
478310,1,6.0 
478309,2,10.0 
478309,6,1.0 
478309,9,4.0 
478308,6,6.0 
478306,5,1.0 
478306,4,4.0 
478305,3,4.0 
478302,7,4.0 
478302,9,4.0 
478301,3,4.0 
478300,2,10.0 
478297,6,4.0 
478296,8,1.0 
478295,9,6.0 
478295,3,10.0 
478294,6,6.0 
478293,9,10.0 
478293,6,4.0 
478292,9,1.0 
478292,2,10.0 
478290,1,4.0 
478288,7,6.0 
478287,1,10.0 
478286,1,6.0 
478286,2,6.0 
478284,8,6.0 
478282,1,10.0 
478282,8,6.0 
478281,7,10.0 
478281,6,10.0 
478276,5,1.0 
478274,1,6.0 
478272,7,6.0 
478272,9,4.0 
478271,3,1.0 
478270,5,4.0 
478269,9,4.0 
478269,6,1.0 
478267,4,1.0 
478267,6,4.0 
478267,5,4.0 
478267,1,10.0 
478265,9,10.0 
478262,7,4.0 
478260,8,4.0 
478258,4,6.0 
478258,3,6.0 
478255,3,6.0 
478254,2,6.0 
478254,6,6.0 
478253,8,6.0 
478253,4,1.0 
478249,9,1.0 
478249,8,6.0 
478248,9,6.0 
478247,1,6.0 
478245,2,4.0 
478245,7,4.0 
478240,1,5.5 
478240,1,5.5 
478240,9,4.0 
478239,7,10.0 
478238,4,1.0 
478234,1,6.0 
478234,8,1.0 
478234,5,4.0 
478232,2,10.0 
478229,7,10.0 
478227,3,10.0 
478227,5,10.0 
478226,2,4.0 
478225,2,4.0 
478224,2,8.0 
478224,2,8.0 
478224,4,6.0 
478223,3,6.0 
478222,6,4.0 
478220,9,1.0 
478220,3,1.0 
478219,9,10.0 
478218,9,6.0 
478217,1,1.0 
478216,2,4.0 
478215,9,1.0 
478214,2,10.0 
478214,5,1.0 
478213,3,4.0 
478212,6,1.0 
478212,8,10.0 
478212,2,4.0 
478211,9,1.0 
478210,6,1.0 
478210,9,10.0 
478210,5,6.0 
478209,1,4.0 
478209,8,3.5 
478209,8,3.5 
478209,2,6.0 
478208,3,1.0 
478208,7,4.0 
478206,5,4.0 
478206,3,4.0 
478204,7,4.0 
478203,4,6.0 
478203,6,10.0 
478199,5,1.0 
478198,2,4.0 
478198,9,1.0 
478197,4,4.0 
478197,4,4.0 
478196,4,6.0 
478196,1,4.0 
478195,9,10.0 
478193,8,1.0 
478192,4,1.0 
478190,9,4.0 
478190,2,6.0 
478190,4,10.0 
478189,9,10.0 
478188,3,6.0 
478188,4,10.0 
478187,3,10.0 
478185,9,10.0 
478184,2,10.0 
478183,4,4.0 
478183,9,6.0 
478183,2,1.0 
478182,6,1.0 
478181,7,5.0 
478181,4,6.0 
478181,5,1.0 
478181,7,5.0 
478180,9,4.33 
478180,9,4.33 
478180,9,4.33 
478179,8,10.0 
478179,4,4.0 
478177,2,4.0 
478175,2,10.0 
478174,7,1.0 
478171,1,4.0 
478171,6,1.0 
478171,2,6.0 
478170,3,10.0 
478169,5,6.0 
478169,8,4.0 
478167,7,4.0 
478167,4,10.0 
478166,5,4.0 
478165,5,1.0 
478164,9,1.0 
478163,1,1.0 
478163,5,4.0 
478163,7,1.0 
478162,7,4.0 
478161,2,1.0 
478160,7,10.0 
478159,9,10.0 
478159,7,4.0 
478158,5,4.0 
478158,6,6.0 
478157,1,5.66 
478157,1,5.66 
478157,6,10.0 
478157,1,5.66 
478157,4,4.0 
478154,4,4.0 
478154,7,6.0 
478153,6,6.0 
478152,5,6.0 
478152,8,1.0 
478148,2,6.0 
478145,4,10.0 
478144,2,10.0 
478143,8,4.0 
478141,5,10.0 
478140,7,4.0 
478140,6,6.0 
478138,7,10.0 
478136,2,1.0 
478135,7,1.0 
478134,8,4.0 
478133,6,1.0 
478132,4,10.0 
478127,2,4.0 
478125,4,1.0 
478125,3,6.0 
478124,1,1.0 
478124,2,6.0 
478123,1,4.0 
478122,2,6.0 
478122,6,10.0 
478120,4,1.0 
478115,2,10.0 
478115,4,4.0 
478114,1,6.0 
478113,9,4.0 
478112,2,10.0 
478111,7,10.0 
478111,5,10.0 
478108,6,4.0 
478106,5,10.0 
478104,7,4.0 
478103,7,10.0 
478102,5,6.0 
478102,1,6.0 
478101,8,1.0 
478100,5,10.0 
478100,7,4.0 
478095,4,10.0 
478094,3,2.5 
478094,3,2.5 
478093,4,6.0 
478092,8,6.0 
478091,3,4.0 
478091,3,4.0 
478090,5,4.0 
478089,2,6.0 
478088,6,1.0 
478086,9,1.0 
478085,6,10.0 
478083,1,1.0 
478083,2,1.0 
478082,2,6.0 
478081,4,1.0 
478078,2,4.0 
478076,8,4.0 
478075,5,6.0 
478074,9,10.0 
478072,2,10.0 
478071,9,4.0 
478070,6,10.0 
478069,3,6.0 
478067,5,1.0 
478066,3,1.0 
478066,1,4.0 
478066,2,4.0 
478066,6,6.0 
478063,5,3.5 
478063,5,3.5 
478062,5,4.0 
478061,9,5.0 
478061,9,5.0 
478061,4,1.0 
478060,4,1.0 
478060,9,4.0 
478057,8,6.0 
478055,2,4.0 
478055,8,1.0 
478054,3,4.0 
478053,9,1.0 
478052,8,10.0 
478051,8,4.0 
478051,9,6.0 
478050,9,10.0 
478050,4,10.0 
478049,1,4.0 
478046,9,10.0 
478046,7,6.0 
478046,4,1.0 
478043,2,4.0 
478042,8,7.0 
478042,8,7.0 
478041,7,10.0 
478033,9,10.0 
478033,5,1.0 
478033,2,5.0 
478033,5,1.0 
478033,2,5.0 
478032,8,4.0 
478031,9,6.0 
478030,3,6.0 
478029,9,1.0 
478028,3,4.0 
478025,3,5.5 
478025,3,5.5 
478023,4,10.0 
478020,4,2.5 
478020,4,2.5 
478020,3,1.0 
478019,3,6.0 
478018,5,1.0 
478017,7,1.0 
478013,8,10.0 
478013,1,6.0 
478012,3,10.0 
478012,2,10.0 
478011,8,6.0 
478011,6,1.0 
478009,8,1.0 
478009,6,10.0 
478008,9,6.0 
478004,2,6.0 
478001,5,6.0 
477998,1,1.0 
477996,9,1.0 
477995,2,1.0 
477994,5,1.0 
477993,6,5.5 
477993,6,5.5 
477992,5,10.0 
477992,6,6.0 
477990,5,1.0 
477989,4,10.0 
477988,9,1.0 
477988,6,10.0 
477986,3,4.0 
477983,5,10.0 
477982,7,10.0 
477978,7,4.0 
477978,6,4.0 
477975,3,4.0 
477974,1,10.0 
477973,8,10.0 
477972,6,4.0 
477972,2,10.0 
477970,6,10.0 
477970,9,4.0 
477967,8,6.0 
477964,9,4.0 
477962,8,1.0 
477959,8,6.0 
477959,7,6.0 
477956,9,6.0 
477955,6,1.0 
477954,8,10.0 
477954,6,1.0 
477952,1,3.5 
477952,3,1.0 
477952,1,3.5 
477952,4,4.0 
477951,3,4.0 
477950,8,4.0 
477950,1,4.0 
477949,8,6.0 
477948,8,6.0 
477947,4,1.0 
477947,2,1.0 
477946,1,4.0 
477943,6,10.0 
477942,1,6.0 
477939,7,1.0 
477937,1,4.0 
477935,5,6.0 
477928,2,4.0 
477928,6,6.0 
477928,4,10.0 
477926,1,6.0 
477926,4,6.0 
477924,1,10.0 
477917,1,6.0 
477917,8,10.0 
477917,3,4.0 
477914,4,10.0 
477913,4,10.0 
477913,6,7.0 
477913,6,7.0 
477913,2,6.0 
477912,1,1.0 
477908,1,7.0 
477908,7,6.0 
477908,1,7.0 
477907,2,1.0 
477907,8,4.0 
477907,5,6.0 
477906,5,6.0 
477906,1,6.0 
477905,6,4.0 
477904,3,4.0 
477904,9,6.0 
477904,2,6.0 
477903,2,4.0 
477902,1,10.0 
477901,1,4.0 
477900,1,6.0 
477899,7,1.0 
477895,2,10.0 
477894,3,10.0 
477894,6,6.0 
477892,2,1.0 
477891,3,1.0 
477890,7,1.0 
477889,4,4.0 
477889,7,10.0 
477888,3,4.0 
477887,3,1.0 
477887,6,6.0 
477883,7,4.0 
477882,4,1.0 
477882,6,4.0 
477878,8,1.0 
477875,1,1.0 
477874,2,10.0 
477873,7,6.0 
477870,5,6.0 
477870,9,4.0 
477867,6,6.0 
477865,3,1.0 
477864,7,10.0 
477864,3,1.0 
477863,4,10.0 
477862,5,4.0 
477862,6,10.0 
477860,4,10.0 
477858,8,4.0 
477857,4,6.0 
477855,8,4.0 
477853,2,4.0 
477853,9,1.0 
477852,2,10.0 
477852,4,6.0 
477851,4,6.0 
477851,1,4.0 
477850,8,10.0 
477849,9,10.0 
477848,7,4.0 
477847,4,4.0 
477846,5,4.0 
477846,8,1.0 
477845,8,4.0 
477845,6,6.0 
477845,5,10.0 
477844,4,1.0 
477844,5,10.0 
477843,4,1.0 
477843,9,1.0 
477842,1,1.0 
477840,2,4.0 
477840,6,6.0 
477838,1,10.0 
477838,6,1.0 
477837,3,6.0 
477836,2,5.5 
477836,2,5.5 
477835,1,10.0 
477835,4,4.0 
477834,9,4.0 
477833,9,6.0 
477832,7,10.0 
477830,6,6.0 
477830,4,4.0 
477830,2,10.0 
477829,9,6.0 
477829,4,4.0 
477829,8,1.0 
477827,6,10.0 
477827,8,6.0 
477826,7,4.0 
477826,6,4.0 
477826,5,4.0 
477825,6,1.0 
477824,4,4.0 
477824,7,6.0 
477822,1,10.0 
477822,9,10.0 
477817,6,4.0 
477816,8,4.0 
477816,6,10.0 
477814,8,1.0 
477813,8,6.0 
477813,4,6.0 
477813,3,1.0 
477810,9,6.0 
477810,7,4.0 
477808,5,6.0 
477807,1,6.0 
477806,7,10.0 
477805,6,4.0 
477803,9,4.0 
477802,2,10.0 
477802,3,6.0 
477802,6,6.0 
477801,9,1.0 
477798,4,6.0 
477798,9,10.0 
477797,5,6.0 
477795,3,1.0 
477794,9,6.0 
477794,1,10.0 
477792,7,4.0 
477790,4,6.0 
477788,4,1.0 
477788,8,1.0 
477787,3,10.0 
477787,4,6.0 
477784,9,10.0 
477783,3,1.0 
477782,6,10.0 
477779,2,7.0 
477779,2,7.0 
477779,9,10.0 
477775,9,1.0 
477774,6,4.0 
477771,3,1.0 
477769,5,10.0 
477767,4,10.0 
477767,8,10.0 
477766,1,1.0 
477765,5,10.0 
477765,7,10.0 
477763,4,1.0 
477763,1,4.0 
477760,8,10.0 
477757,4,1.0 
477755,4,1.0 
477755,5,4.0 
477751,6,8.0 
477751,6,8.0 
477751,6,8.0 
477751,8,4.0 
477748,4,1.0 
477747,3,1.0 
477747,5,1.0 
477747,2,1.0 
477747,7,4.0 
477743,4,6.0 
477743,3,10.0 
477741,1,4.0 
477740,3,1.0 
477740,9,6.0 
477740,2,4.0 
477737,6,10.0 
477737,4,1.0 
477735,1,6.0 
477734,2,4.0 
477733,3,1.0 
477731,5,6.0 
477731,9,6.0 
477730,5,10.0 
477725,6,4.0 
477723,1,4.0 
477723,9,1.0 
477722,3,10.0 
477721,4,1.0 
477720,9,10.0 
477718,4,10.0 
477718,7,10.0 
477718,1,1.0 
477717,8,10.0 
477716,7,10.0 
477715,2,1.0 
477715,7,10.0 
477713,9,4.0 
477712,6,4.0 
477711,7,6.0 
477710,2,10.0 
477709,8,10.0 
477707,3,10.0 
477706,1,4.0 
477705,7,6.0 
477704,2,10.0 
477704,3,1.0 
477703,8,1.0 
477702,8,1.0 
477702,9,6.0 
477701,7,6.0 
477699,4,10.0 
477698,8,6.0 
477698,2,10.0 
477698,3,4.0 
477698,5,6.0 
477696,2,6.0 
477693,4,1.0 
477692,1,1.0 
477691,8,2.5 
477691,5,10.0 
477691,8,2.5 
477689,5,1.0 
477686,5,4.0 
477686,3,6.0 
477686,1,4.0 
477686,9,6.0 
477684,2,4.0 
477681,3,1.0 
477679,6,4.0 
477679,2,4.0 
477675,6,10.0 
477674,9,1.0 
477674,6,6.0 
477673,6,6.0 
477673,4,6.0 
477672,8,6.0 
477671,6,4.0 
477671,3,1.0 
477670,3,6.0 
477666,6,10.0 
477662,4,6.0 
477662,1,1.0 
477662,9,6.0 
477661,2,4.0 
477660,9,6.0 
477659,8,10.0 
477658,5,10.0 
477658,8,4.0 
477655,2,3.5 
477655,2,3.5 
477653,7,1.0 
477652,2,1.0 
477651,9,10.0 
477650,7,10.0 
477648,4,1.0 
477646,3,6.0 
477646,3,6.0 
477643,4,10.0 
477635,9,4.0 
477634,5,4.0 
477634,2,6.0 
477633,9,6.0 
477633,1,10.0 
477632,2,1.0 
477628,7,10.0 
477628,5,6.0 
477627,9,7.0 
477627,9,7.0 
477627,8,6.0 
477626,5,1.0 
477625,7,6.0 
477625,4,4.0 
477623,6,6.0 
477622,7,5.0 
477622,7,5.0 
477622,7,5.0 
477620,7,6.0 
477619,8,10.0 
477616,4,10.0 
477615,2,4.0 
477614,7,4.0 
477612,3,10.0 
477610,2,6.0 
477610,7,1.0 
477609,9,10.0 
477608,8,6.0 
477608,5,4.0 
477608,9,1.0 
477606,3,10.0 
477605,7,10.0 
477604,6,10.0 
477601,3,6.0 
477600,9,6.0 
477599,7,4.0 
477598,6,1.0 
477597,9,1.0 
477595,4,1.0 
477594,2,1.0 
477592,3,6.0 
477589,9,1.0 
477588,4,4.0 
477584,3,10.0 
477584,8,1.0 
477581,5,1.0 
477581,9,4.0 
477577,6,4.0 
477577,1,1.0 
477574,8,10.0 
477573,6,4.0 
477569,8,10.0 
477568,2,10.0 
477566,8,1.0 
477566,6,4.0 
477565,3,4.0 
477565,2,10.0 
477564,2,4.0 
477564,7,6.0 
477563,1,1.0 
477562,8,1.0 
477561,6,10.0 
477559,8,6.0 
477558,6,6.0 
477558,9,6.0 
477557,2,1.0 
477555,7,10.0 
477555,8,6.0 
477554,5,6.0 
477554,8,6.0 
477551,8,10.0 
477551,4,10.0 
477548,2,5.0 
477548,2,5.0 
477548,4,4.0 
477547,4,1.0 
477545,6,6.0 
477544,6,1.0 
477544,2,10.0 
477544,4,1.0 
477542,6,10.0 
477541,3,4.0 
477541,6,4.0 
477540,4,4.0 
477537,7,4.0 
477537,8,4.0 
477536,5,10.0 
477536,2,1.0 
477535,1,1.0 
477535,4,10.0 
477533,1,6.0 
477530,9,4.0 
477528,9,6.0 
477528,2,6.0 
477527,3,1.0 
477526,8,1.0 
477523,3,10.0 
477522,3,10.0 
477521,4,4.0 
477521,4,4.0 
477521,2,4.0 
477519,6,4.0 
477519,2,1.0 
477519,7,10.0 
477517,8,6.0 
477516,2,10.0 
477513,6,10.0 
477513,3,4.0 
477512,7,4.0 
477512,9,10.0 
477502,5,1.0 
477501,8,1.0 
477499,6,4.0 
477497,1,6.0 
477496,4,6.0 
477493,9,1.0 
477492,1,4.0 
477492,9,1.0 
477489,1,1.0 
477488,7,4.0 
477488,1,1.0 
477487,2,4.0 
477487,5,6.0 
477486,8,6.0 
477484,5,10.0 
477484,2,1.0 
477483,6,2.5 
477483,9,4.0 
477483,3,6.0 
477483,6,2.5 
477479,8,4.0 
477478,2,6.0 
477477,6,10.0 
477477,7,4.0 
477476,1,6.0 
477476,2,1.0 
477476,8,6.0 
477473,5,6.0 
477472,1,4.0 
477471,7,1.0 
477471,5,10.0 
477469,6,4.0 
477469,4,10.0 
477467,6,4.0 
477467,5,6.0 
477467,8,6.0 
477465,7,10.0 
477465,9,1.0 
477464,6,10.0 
477462,7,3.5 
477462,1,4.0 
477462,7,3.5 
477461,6,10.0 
477460,4,4.0 
477457,8,1.0 
477457,1,10.0 
477455,1,4.0 
477454,8,1.0 
477454,6,10.0 
477453,6,10.0 
477450,6,1.0 
477449,1,6.0 
477448,2,1.0 
477447,7,4.0 
477446,2,10.0 
477445,2,4.0 
477444,9,6.0 
477439,7,4.0 
477439,5,10.0 
477439,2,4.0 
477438,8,1.0 
477436,1,10.0 
477431,8,4.0 
477429,1,6.0 
477428,1,2.0 
477428,6,1.0 
477428,1,2.0 
477428,1,2.0 
477424,2,6.0 
477423,4,10.0 
477423,3,10.0 
477420,5,10.0 
477420,4,1.0 
477419,2,10.0 
477417,1,10.0 
477417,4,1.0 
477415,1,1.0 
477414,1,5.5 
477414,1,5.5 
477414,9,10.0 
477413,8,1.0 
477411,6,6.0 
477410,5,4.0 
477409,9,1.0 
477408,1,10.0 
477407,9,6.0 
477406,1,4.0 
477406,8,4.0 
477405,3,3.5 
477405,3,3.5 
477404,8,4.0 
477401,3,1.0 
477401,5,4.0 
477399,2,4.0 
477396,2,6.0 
477396,6,1.0 
477393,7,6.0 
477392,7,1.0 
477390,7,5.66 
477390,7,5.66 
477390,7,5.66 
477387,6,6.0 
477387,6,6.0 
477387,2,4.0 
477385,2,4.0 
477384,9,6.0 
477383,4,10.0 
477379,1,1.0 
477378,8,10.0 
477378,5,4.0 
477377,8,10.0 
477375,3,1.0 
477374,8,6.0 
477372,3,4.0 
477372,8,10.0 
477370,9,10.0 
477366,5,1.0 
477365,1,1.0 
477363,2,6.0 
477362,2,6.0 
477362,1,1.0 
477359,6,6.0 
477358,9,10.0 
477357,5,10.0 
477357,1,1.0 
477356,5,6.0 
477355,4,1.0 
477354,7,6.0 
477353,3,7.0 
477353,3,7.0 
477352,4,10.0 
477351,9,1.0 
477350,8,1.0 
477349,4,6.0 
477347,1,4.0 
477346,7,4.0 
477344,5,4.0 
477344,2,4.0 
477343,1,10.0 
477342,7,1.0 
477342,4,6.0 
477341,2,10.0 
477340,8,10.0 
477336,6,6.0 
477334,9,10.0 
477333,8,6.0 
477332,8,1.0 
477331,3,4.0 
477330,1,4.0 
477330,6,6.0 
477329,8,4.0 
477329,6,1.0 
477323,9,1.0 
477323,5,6.0 
477323,6,1.0 
477322,4,10.0 
477321,8,5.5 
477321,8,5.5 
477318,5,10.0 
477318,3,1.0 
477314,9,1.0 
477313,1,1.0 
477312,8,4.0 
477309,7,4.0 
477308,8,10.0 
477306,9,1.0 
477305,3,1.0 
477305,5,1.0 
477304,5,4.0 
477303,4,6.0 
477302,6,7.0 
477302,6,7.0 
477301,9,4.0 
477299,7,1.0 
477299,2,6.0 
477298,5,10.0 
477298,9,10.0 
477298,8,6.0 
477297,3,4.0 
477295,9,4.0 
477294,1,4.0 
477293,8,6.0 
477293,7,10.0 
477291,7,1.0 
477288,7,10.0 
477287,3,4.0 
477287,9,6.0 
477286,1,4.0 
477286,5,1.0 
477286,8,6.0 
477284,1,4.0 
477283,1,4.0 
477283,2,1.0 
477283,8,10.0 
477280,3,10.0 
477279,2,6.0 
477278,5,10.0 
477275,1,1.0 
477275,6,4.0 
477273,2,8.0 
477273,2,8.0 
477273,3,1.0 
477272,4,4.0 
477271,2,6.0 
477269,5,10.0 
477268,3,6.0 
477267,5,1.0 
477267,3,6.0 
477265,3,1.0 
477263,1,10.0 
477261,3,4.0 
477261,2,1.0 
477258,3,1.0 
477254,3,4.0 
477254,1,1.0 
477250,6,4.0 
477250,1,10.0 
477249,8,6.0 
477248,7,6.0 
477247,5,10.0 
477243,3,1.0 
477241,8,10.0 
477240,6,1.0 
477240,7,1.0 
477239,2,6.0 
477238,8,10.0 
477234,2,7.0 
477234,2,7.0 
477233,8,1.0 
477232,2,1.0 
477232,8,1.0 
477232,3,4.0 
477231,9,1.0 
477231,7,1.0 
477231,2,10.0 
477229,6,6.0 
477228,3,6.0 
477227,9,2.5 
477227,9,2.5 
477226,1,4.0 
477224,6,2.5 
477224,6,2.5 
477223,7,1.0 
477223,1,4.0 
477221,9,10.0 
477221,4,10.0 
477220,8,1.0 
477220,1,10.0 
477218,9,6.0 
477216,7,1.0 
477212,5,10.0 
477212,4,10.0 
477211,4,10.0 
477209,2,4.0 
477208,2,4.0 
477206,7,10.0 
477205,1,1.0 
477205,2,4.0 
477204,2,1.0 
477203,9,1.0 
477203,3,1.0 
477203,1,10.0 
477200,8,10.0 
477199,3,4.0 
477199,1,1.0 
477197,6,10.0 
477197,2,6.0 
477195,7,4.0 
477194,1,1.0 
477194,7,4.0 
477193,5,10.0 
477190,9,1.0 
477189,6,1.0 
477189,3,10.0 
477188,9,1.0 
477188,2,6.0 
477187,5,10.0 
477187,6,6.0 
477186,7,1.0 
477181,3,4.0 
477181,1,6.0 
477178,6,10.0 
477178,4,1.0 
477177,7,1.0 
477167,9,6.0 
477165,8,1.0 
477165,5,5.5 
477165,5,5.5 
477160,9,4.0 
477159,3,5.5 
477159,5,1.0 
477159,3,5.5 
477158,5,6.0 
477155,2,1.0 
477154,7,4.0 
477153,9,6.0 
477153,4,10.0 
477152,2,4.0 
477150,3,4.0 
477150,1,4.0 
477147,3,1.0 
477147,7,6.0 
477146,1,4.0 
477146,9,1.0 
477144,1,6.0 
477144,6,10.0 
477143,4,1.0 
477142,8,4.0 
477141,2,6.0 
477138,3,1.0 
477137,6,1.0 
477137,3,6.0 
477136,3,10.0 
477134,3,10.0 
477131,1,6.0 
477130,4,1.0 
477129,4,10.0 
477128,2,1.0 
477127,5,1.0 
477127,9,4.0 
477126,1,8.0 
477126,1,8.0 
477125,2,6.0 
477123,6,10.0 
477122,6,1.0 
477122,9,4.0 
477121,7,1.0 
477119,1,1.0 
477117,2,6.0 
477117,8,6.0 
477115,9,6.0 
477112,9,6.0 
477110,8,10.0 
477110,2,4.0 
477110,7,10.0 
477109,3,10.0 
477108,4,4.0 
477107,2,6.0 
477106,2,6.0 
477105,2,6.0 
477103,3,4.0 
477102,7,4.0 
477102,4,10.0 
477100,5,10.0 
477100,7,6.0 
477099,9,4.0 
477099,2,6.0 
477099,2,6.0 
477098,9,4.0 
477095,6,6.0 
477093,8,6.0 
477093,5,4.0 
477091,9,4.0 
477090,4,6.0 
477090,5,4.0 
477089,4,10.0 
477089,9,4.0 
477088,5,4.0 
477085,6,1.0 
477084,5,1.0 
477084,1,4.0 
477083,6,10.0 
477083,3,4.0 
477083,8,6.0 
477083,1,6.0 
477080,3,10.0 
477076,5,4.0 
477076,3,10.0 
477076,2,6.0 
477075,6,4.0 
477074,9,10.0 
477074,2,1.0 
477073,3,1.0 
477073,9,1.0 
477071,7,4.0 
477071,6,1.0 
477069,7,10.0 
477068,2,1.0 
477066,1,4.0 
477065,8,10.0 
477064,6,10.0 
477064,4,6.0 
477063,6,6.0 
477062,2,4.0 
477062,4,4.0 
477062,2,4.0 
477061,2,1.0 
477061,3,6.0 
477059,3,6.0 
477058,2,1.0 
477056,6,6.0 
477055,4,6.0 
477054,6,10.0 
477053,7,4.0 
477052,3,1.0 
477051,4,1.0 
477049,7,6.0 
477048,6,6.0 
477048,2,4.0 
477047,8,1.0 
477047,3,6.0 
477042,7,6.0 
477042,5,6.0 
477041,3,10.0 
477038,7,6.0 
477037,5,10.0 
477035,2,1.0 
477034,7,6.0 
477030,9,10.0 
477027,5,10.0 
477024,3,6.0 
477024,9,4.0 
477024,2,2.5 
477024,2,2.5 
477023,5,1.0 
477023,7,10.0 
477022,8,6.0 
477021,8,10.0 
477020,6,6.0 
477019,8,10.0 
477017,9,1.0 
477013,8,6.0 
477013,7,1.0 
477011,8,1.0 
477010,3,4.0 
477009,5,10.0 
477009,1,6.0 
477008,7,6.0 
477008,1,10.0 
477006,5,6.0 
477004,3,10.0 
476995,3,4.0 
476995,1,1.0 
476994,5,6.0 
476992,4,4.0 
476991,5,4.0 
476988,1,10.0 
476987,1,4.0 
476986,9,1.0 
476985,7,10.0 
476984,2,4.0 
476982,7,10.0 
476981,3,4.0 
476981,6,1.0 
476980,3,10.0 
476980,8,6.0 
476979,7,6.0 
476979,2,10.0 
476978,9,1.0 
476977,7,6.0 
476977,8,4.0 
476976,9,4.0 
476975,5,10.0 
476974,4,10.0 
476971,9,10.0 
476970,7,1.0 
476968,2,4.0 
476968,8,6.0 
476968,3,4.0 
476966,1,1.0 
476963,5,6.0 
476962,8,1.0 
476961,4,6.0 
476961,9,10.0 
476961,6,6.0 
476958,9,1.0 
476955,8,4.0 
476954,4,4.0 
476952,6,1.0 
476952,2,1.0 
476948,5,10.0 
476948,4,6.0 
476946,2,4.0 
476945,3,10.0 
476944,8,10.0 
476943,6,7.0 
476943,6,7.0 
476942,1,7.0 
476942,1,7.0 
476941,9,4.0 
476940,1,1.0 
476939,8,6.0 
476939,5,10.0 
476937,9,10.0 
476937,3,4.0 
476934,9,1.0 
476934,6,3.5 
476934,6,3.5 
476933,6,6.0 
476932,3,6.0 
476931,6,1.0 
476928,5,6.0 
476926,5,6.0 
476926,1,4.0 
476925,3,1.0 
476924,9,10.0 
476923,9,6.0 
476923,7,1.0 
476922,6,1.0 
476922,1,6.0 
476918,8,10.0 
476917,7,6.0 
476917,1,10.0 
476916,4,4.0 
476916,7,6.0 
476915,6,4.0 
476914,2,7.0 
476914,2,7.0 
476913,5,10.0 
476912,5,6.0 
476908,1,1.0 
476908,4,6.0 
476908,8,1.0 
476907,5,6.0 
476907,8,6.0 
476906,8,1.0 
476905,1,1.0 
476901,9,4.0 
476901,2,10.0 
476900,7,1.0 
476899,4,1.0 
476897,9,1.0 
476897,2,6.0 
476896,3,1.0 
476894,9,1.0 
476894,6,10.0 
476893,2,10.0 
476892,6,6.0 
